time,date,value,Route
07:15:00,2019-04-28,00:00:00,Route_4_WharfsideWay
07:30:00,2019-04-28,00:01:36,Route_4_WharfsideWay
07:45:00,2019-04-28,00:01:07,Route_4_WharfsideWay
08:00:00,2019-04-28,00:01:33,Route_4_WharfsideWay
08:15:00,2019-04-28,00:01:01,Route_4_WharfsideWay
08:30:00,2019-04-28,00:00:00,Route_4_WharfsideWay
08:45:00,2019-04-28,00:01:21,Route_4_WharfsideWay
09:00:00,2019-04-28,00:00:00,Route_4_WharfsideWay
09:15:00,2019-04-28,00:00:00,Route_4_WharfsideWay
09:30:00,2019-04-28,00:00:00,Route_4_WharfsideWay
09:45:00,2019-04-28,00:00:00,Route_4_WharfsideWay
10:00:00,2019-04-28,00:01:50,Route_4_WharfsideWay
10:15:00,2019-04-28,00:02:32,Route_4_WharfsideWay
10:30:00,2019-04-28,00:01:31,Route_4_WharfsideWay
10:45:00,2019-04-28,00:01:48,Route_4_WharfsideWay
11:00:00,2019-04-28,00:02:23,Route_4_WharfsideWay
11:15:00,2019-04-28,00:02:04,Route_4_WharfsideWay
11:30:00,2019-04-28,00:02:51,Route_4_WharfsideWay
11:45:00,2019-04-28,00:02:21,Route_4_WharfsideWay
12:00:00,2019-04-28,00:02:07,Route_4_WharfsideWay
12:15:00,2019-04-28,00:01:26,Route_4_WharfsideWay
12:30:00,2019-04-28,00:02:17,Route_4_WharfsideWay
12:45:00,2019-04-28,00:01:13,Route_4_WharfsideWay
13:00:00,2019-04-28,00:02:25,Route_4_WharfsideWay
13:15:00,2019-04-28,00:02:17,Route_4_WharfsideWay
13:30:00,2019-04-28,00:01:04,Route_4_WharfsideWay
13:45:00,2019-04-28,00:01:46,Route_4_WharfsideWay
14:00:00,2019-04-28,00:01:45,Route_4_WharfsideWay
14:15:00,2019-04-28,00:02:01,Route_4_WharfsideWay
14:30:00,2019-04-28,00:01:50,Route_4_WharfsideWay
14:45:00,2019-04-28,00:02:34,Route_4_WharfsideWay
15:00:00,2019-04-28,00:00:00,Route_4_WharfsideWay
15:15:00,2019-04-28,00:00:00,Route_4_WharfsideWay
15:30:00,2019-04-28,00:02:23,Route_4_WharfsideWay
15:45:00,2019-04-28,00:02:05,Route_4_WharfsideWay
16:00:00,2019-04-28,00:02:19,Route_4_WharfsideWay
16:15:00,2019-04-28,00:02:06,Route_4_WharfsideWay
16:30:00,2019-04-28,00:02:09,Route_4_WharfsideWay
16:45:00,2019-04-28,00:03:20,Route_4_WharfsideWay
17:00:00,2019-04-28,00:01:41,Route_4_WharfsideWay
17:15:00,2019-04-28,00:01:53,Route_4_WharfsideWay
17:30:00,2019-04-28,00:00:00,Route_4_WharfsideWay
17:45:00,2019-04-28,00:00:28,Route_4_WharfsideWay
18:00:00,2019-04-28,00:02:53,Route_4_WharfsideWay
18:15:00,2019-04-28,00:05:50,Route_4_WharfsideWay
18:30:00,2019-04-28,00:00:00,Route_4_WharfsideWay
18:45:00,2019-04-28,00:06:49,Route_4_WharfsideWay
19:00:00,2019-04-28,00:07:25,Route_4_WharfsideWay
19:15:00,2019-04-28,00:04:56,Route_4_WharfsideWay
19:30:00,2019-04-28,00:02:03,Route_4_WharfsideWay
19:45:00,2019-04-28,00:02:13,Route_4_WharfsideWay
20:00:00,2019-04-28,00:01:39,Route_4_WharfsideWay
20:15:00,2019-04-28,00:01:48,Route_4_WharfsideWay
20:30:00,2019-04-28,00:00:00,Route_4_WharfsideWay
20:45:00,2019-04-28,00:02:02,Route_4_WharfsideWay
21:00:00,2019-04-28,00:00:45,Route_4_WharfsideWay
21:15:00,2019-04-28,00:00:00,Route_4_WharfsideWay
21:30:00,2019-04-28,00:01:34,Route_4_WharfsideWay
21:45:00,2019-04-28,00:01:58,Route_4_WharfsideWay
22:00:00,2019-04-28,00:01:50,Route_4_WharfsideWay
22:15:00,2019-04-28,00:00:00,Route_4_WharfsideWay
22:30:00,2019-04-28,00:00:00,Route_4_WharfsideWay
22:45:00,2019-04-28,00:00:00,Route_4_WharfsideWay
23:00:00,2019-04-28,00:00:00,Route_4_WharfsideWay
23:15:00,2019-04-28,00:00:00,Route_4_WharfsideWay
23:30:00,2019-04-28,00:01:53,Route_4_WharfsideWay
23:45:00,2019-04-28,00:00:00,Route_4_WharfsideWay
00:00:00,2019-04-29,00:00:00,Route_4_WharfsideWay
00:15:00,2019-04-29,00:00:00,Route_4_WharfsideWay
00:30:00,2019-04-29,00:00:00,Route_4_WharfsideWay
00:45:00,2019-04-29,00:00:00,Route_4_WharfsideWay
01:00:00,2019-04-29,00:00:00,Route_4_WharfsideWay
01:15:00,2019-04-29,00:00:00,Route_4_WharfsideWay
01:30:00,2019-04-29,00:00:00,Route_4_WharfsideWay
01:45:00,2019-04-29,00:00:00,Route_4_WharfsideWay
02:00:00,2019-04-29,00:00:00,Route_4_WharfsideWay
02:15:00,2019-04-29,00:00:52,Route_4_WharfsideWay
02:30:00,2019-04-29,00:00:00,Route_4_WharfsideWay
02:45:00,2019-04-29,00:00:00,Route_4_WharfsideWay
03:00:00,2019-04-29,00:00:00,Route_4_WharfsideWay
03:15:00,2019-04-29,00:00:00,Route_4_WharfsideWay
03:30:00,2019-04-29,00:00:00,Route_4_WharfsideWay
03:45:00,2019-04-29,00:00:43,Route_4_WharfsideWay
04:00:00,2019-04-29,00:00:00,Route_4_WharfsideWay
04:15:00,2019-04-29,00:03:11,Route_4_WharfsideWay
04:30:00,2019-04-29,00:01:56,Route_4_WharfsideWay
04:45:00,2019-04-29,00:01:19,Route_4_WharfsideWay
05:00:00,2019-04-29,00:01:12,Route_4_WharfsideWay
05:15:00,2019-04-29,00:02:24,Route_4_WharfsideWay
05:30:00,2019-04-29,00:01:01,Route_4_WharfsideWay
05:45:00,2019-04-29,00:02:19,Route_4_WharfsideWay
06:00:00,2019-04-29,00:02:19,Route_4_WharfsideWay
06:15:00,2019-04-29,00:01:47,Route_4_WharfsideWay
06:30:00,2019-04-29,00:02:16,Route_4_WharfsideWay
06:45:00,2019-04-29,00:01:49,Route_4_WharfsideWay
07:00:00,2019-04-29,00:01:54,Route_4_WharfsideWay
07:15:00,2019-04-29,00:02:53,Route_4_WharfsideWay
07:30:00,2019-04-29,00:02:27,Route_4_WharfsideWay
07:45:00,2019-04-29,00:03:08,Route_4_WharfsideWay
08:00:00,2019-04-29,00:02:36,Route_4_WharfsideWay
08:15:00,2019-04-29,00:02:19,Route_4_WharfsideWay
08:30:00,2019-04-29,00:01:54,Route_4_WharfsideWay
08:45:00,2019-04-29,00:02:28,Route_4_WharfsideWay
09:00:00,2019-04-29,00:00:00,Route_4_WharfsideWay
09:15:00,2019-04-29,00:01:54,Route_4_WharfsideWay
09:30:00,2019-04-29,00:02:20,Route_4_WharfsideWay
09:45:00,2019-04-29,00:01:43,Route_4_WharfsideWay
10:00:00,2019-04-29,00:01:22,Route_4_WharfsideWay
10:15:00,2019-04-29,00:01:44,Route_4_WharfsideWay
10:30:00,2019-04-29,00:01:56,Route_4_WharfsideWay
10:45:00,2019-04-29,00:02:35,Route_4_WharfsideWay
11:00:00,2019-04-29,00:03:28,Route_4_WharfsideWay
11:15:00,2019-04-29,00:01:59,Route_4_WharfsideWay
11:30:00,2019-04-29,00:02:48,Route_4_WharfsideWay
11:45:00,2019-04-29,00:01:54,Route_4_WharfsideWay
12:00:00,2019-04-29,00:00:00,Route_4_WharfsideWay
12:15:00,2019-04-29,00:02:21,Route_4_WharfsideWay
12:30:00,2019-04-29,00:01:48,Route_4_WharfsideWay
12:45:00,2019-04-29,00:02:21,Route_4_WharfsideWay
13:00:00,2019-04-29,00:01:27,Route_4_WharfsideWay
13:15:00,2019-04-29,00:02:07,Route_4_WharfsideWay
13:30:00,2019-04-29,00:01:32,Route_4_WharfsideWay
13:45:00,2019-04-29,00:00:00,Route_4_WharfsideWay
14:00:00,2019-04-29,00:01:38,Route_4_WharfsideWay
14:15:00,2019-04-29,00:02:30,Route_4_WharfsideWay
14:30:00,2019-04-29,00:01:39,Route_4_WharfsideWay
14:45:00,2019-04-29,00:01:49,Route_4_WharfsideWay
15:00:00,2019-04-29,00:02:15,Route_4_WharfsideWay
15:15:00,2019-04-29,00:02:17,Route_4_WharfsideWay
15:30:00,2019-04-29,00:01:09,Route_4_WharfsideWay
15:45:00,2019-04-29,00:01:52,Route_4_WharfsideWay
16:00:00,2019-04-29,00:01:40,Route_4_WharfsideWay
16:15:00,2019-04-29,00:03:03,Route_4_WharfsideWay
16:30:00,2019-04-29,00:02:30,Route_4_WharfsideWay
16:45:00,2019-04-29,00:03:02,Route_4_WharfsideWay
17:00:00,2019-04-29,00:02:24,Route_4_WharfsideWay
17:15:00,2019-04-29,00:01:41,Route_4_WharfsideWay
17:30:00,2019-04-29,00:02:43,Route_4_WharfsideWay
17:45:00,2019-04-29,00:02:16,Route_4_WharfsideWay
18:00:00,2019-04-29,00:01:50,Route_4_WharfsideWay
18:15:00,2019-04-29,00:01:32,Route_4_WharfsideWay
18:30:00,2019-04-29,00:01:31,Route_4_WharfsideWay
18:45:00,2019-04-29,00:03:11,Route_4_WharfsideWay
19:00:00,2019-04-29,00:00:00,Route_4_WharfsideWay
19:15:00,2019-04-29,00:00:00,Route_4_WharfsideWay
19:30:00,2019-04-29,00:01:45,Route_4_WharfsideWay
19:45:00,2019-04-29,00:02:22,Route_4_WharfsideWay
20:00:00,2019-04-29,00:00:42,Route_4_WharfsideWay
20:15:00,2019-04-29,00:02:33,Route_4_WharfsideWay
20:30:00,2019-04-29,00:00:00,Route_4_WharfsideWay
20:45:00,2019-04-29,00:02:43,Route_4_WharfsideWay
21:00:00,2019-04-29,00:00:00,Route_4_WharfsideWay
21:15:00,2019-04-29,00:04:34,Route_4_WharfsideWay
21:30:00,2019-04-29,00:00:00,Route_4_WharfsideWay
21:45:00,2019-04-29,00:00:00,Route_4_WharfsideWay
22:00:00,2019-04-29,00:01:32,Route_4_WharfsideWay
22:15:00,2019-04-29,00:01:40,Route_4_WharfsideWay
22:30:00,2019-04-29,00:01:37,Route_4_WharfsideWay
22:45:00,2019-04-29,00:01:48,Route_4_WharfsideWay
23:00:00,2019-04-29,00:00:52,Route_4_WharfsideWay
23:15:00,2019-04-29,00:02:21,Route_4_WharfsideWay
23:30:00,2019-04-29,00:00:00,Route_4_WharfsideWay
23:45:00,2019-04-29,00:00:00,Route_4_WharfsideWay
00:00:00,2019-04-30,00:00:00,Route_4_WharfsideWay
00:15:00,2019-04-30,00:00:00,Route_4_WharfsideWay
00:30:00,2019-04-30,00:01:17,Route_4_WharfsideWay
00:45:00,2019-04-30,00:00:57,Route_4_WharfsideWay
01:00:00,2019-04-30,00:00:00,Route_4_WharfsideWay
01:15:00,2019-04-30,00:00:00,Route_4_WharfsideWay
01:30:00,2019-04-30,00:00:00,Route_4_WharfsideWay
01:45:00,2019-04-30,00:00:00,Route_4_WharfsideWay
02:00:00,2019-04-30,00:00:00,Route_4_WharfsideWay
02:15:00,2019-04-30,00:00:00,Route_4_WharfsideWay
02:30:00,2019-04-30,00:00:00,Route_4_WharfsideWay
02:45:00,2019-04-30,00:00:00,Route_4_WharfsideWay
03:00:00,2019-04-30,00:00:00,Route_4_WharfsideWay
03:15:00,2019-04-30,00:00:00,Route_4_WharfsideWay
03:30:00,2019-04-30,00:00:56,Route_4_WharfsideWay
03:45:00,2019-04-30,00:00:00,Route_4_WharfsideWay
04:00:00,2019-04-30,00:00:00,Route_4_WharfsideWay
04:15:00,2019-04-30,00:01:46,Route_4_WharfsideWay
04:30:00,2019-04-30,00:05:07,Route_4_WharfsideWay
04:45:00,2019-04-30,00:02:28,Route_4_WharfsideWay
05:00:00,2019-04-30,00:00:00,Route_4_WharfsideWay
05:15:00,2019-04-30,00:00:00,Route_4_WharfsideWay
05:30:00,2019-04-30,00:01:28,Route_4_WharfsideWay
05:45:00,2019-04-30,00:02:10,Route_4_WharfsideWay
06:00:00,2019-04-30,00:00:00,Route_4_WharfsideWay
06:15:00,2019-04-30,00:02:10,Route_4_WharfsideWay
06:30:00,2019-04-30,00:02:08,Route_4_WharfsideWay
06:45:00,2019-04-30,00:01:20,Route_4_WharfsideWay
07:00:00,2019-04-30,00:02:08,Route_4_WharfsideWay
07:15:00,2019-04-30,00:01:51,Route_4_WharfsideWay
07:30:00,2019-04-30,00:02:41,Route_4_WharfsideWay
07:45:00,2019-04-30,00:02:16,Route_4_WharfsideWay
08:00:00,2019-04-30,00:02:20,Route_4_WharfsideWay
08:15:00,2019-04-30,00:01:49,Route_4_WharfsideWay
08:30:00,2019-04-30,00:02:16,Route_4_WharfsideWay
08:45:00,2019-04-30,00:02:34,Route_4_WharfsideWay
09:00:00,2019-04-30,00:01:58,Route_4_WharfsideWay
09:15:00,2019-04-30,00:01:33,Route_4_WharfsideWay
09:30:00,2019-04-30,00:02:16,Route_4_WharfsideWay
09:45:00,2019-04-30,00:02:12,Route_4_WharfsideWay
10:00:00,2019-04-30,00:01:55,Route_4_WharfsideWay
10:15:00,2019-04-30,00:01:33,Route_4_WharfsideWay
10:30:00,2019-04-30,00:00:00,Route_4_WharfsideWay
10:45:00,2019-04-30,00:01:51,Route_4_WharfsideWay
11:00:00,2019-04-30,00:01:54,Route_4_WharfsideWay
11:15:00,2019-04-30,00:01:47,Route_4_WharfsideWay
11:30:00,2019-04-30,00:02:02,Route_4_WharfsideWay
11:45:00,2019-04-30,00:02:06,Route_4_WharfsideWay
12:00:00,2019-04-30,00:01:17,Route_4_WharfsideWay
12:15:00,2019-04-30,00:01:52,Route_4_WharfsideWay
12:30:00,2019-04-30,00:01:21,Route_4_WharfsideWay
12:45:00,2019-04-30,00:01:39,Route_4_WharfsideWay
13:00:00,2019-04-30,00:01:55,Route_4_WharfsideWay
13:15:00,2019-04-30,00:02:04,Route_4_WharfsideWay
13:30:00,2019-04-30,00:00:00,Route_4_WharfsideWay
13:45:00,2019-04-30,00:02:06,Route_4_WharfsideWay
14:00:00,2019-04-30,00:02:00,Route_4_WharfsideWay
14:15:00,2019-04-30,00:01:39,Route_4_WharfsideWay
14:30:00,2019-04-30,00:01:35,Route_4_WharfsideWay
14:45:00,2019-04-30,00:02:18,Route_4_WharfsideWay
15:00:00,2019-04-30,00:01:59,Route_4_WharfsideWay
15:15:00,2019-04-30,00:01:52,Route_4_WharfsideWay
15:30:00,2019-04-30,00:02:20,Route_4_WharfsideWay
15:45:00,2019-04-30,00:01:57,Route_4_WharfsideWay
16:00:00,2019-04-30,00:01:37,Route_4_WharfsideWay
16:15:00,2019-04-30,00:01:53,Route_4_WharfsideWay
16:30:00,2019-04-30,00:02:21,Route_4_WharfsideWay
16:45:00,2019-04-30,00:02:52,Route_4_WharfsideWay
17:00:00,2019-04-30,00:02:14,Route_4_WharfsideWay
17:15:00,2019-04-30,00:02:38,Route_4_WharfsideWay
17:30:00,2019-04-30,00:02:31,Route_4_WharfsideWay
17:45:00,2019-04-30,00:01:43,Route_4_WharfsideWay
18:00:00,2019-04-30,00:01:58,Route_4_WharfsideWay
18:15:00,2019-04-30,00:06:24,Route_4_WharfsideWay
18:30:00,2019-04-30,00:01:46,Route_4_WharfsideWay
18:45:00,2019-04-30,00:01:35,Route_4_WharfsideWay
19:00:00,2019-04-30,00:00:00,Route_4_WharfsideWay
19:15:00,2019-04-30,00:02:10,Route_4_WharfsideWay
19:30:00,2019-04-30,00:01:45,Route_4_WharfsideWay
19:45:00,2019-04-30,00:00:00,Route_4_WharfsideWay
20:00:00,2019-04-30,00:00:00,Route_4_WharfsideWay
20:15:00,2019-04-30,00:01:28,Route_4_WharfsideWay
20:30:00,2019-04-30,00:00:00,Route_4_WharfsideWay
20:45:00,2019-04-30,00:03:40,Route_4_WharfsideWay
21:00:00,2019-04-30,00:02:01,Route_4_WharfsideWay
21:15:00,2019-04-30,00:01:33,Route_4_WharfsideWay
21:30:00,2019-04-30,00:00:00,Route_4_WharfsideWay
21:45:00,2019-04-30,00:01:45,Route_4_WharfsideWay
22:00:00,2019-04-30,00:01:11,Route_4_WharfsideWay
22:15:00,2019-04-30,00:01:51,Route_4_WharfsideWay
22:30:00,2019-04-30,00:00:00,Route_4_WharfsideWay
22:45:00,2019-04-30,00:03:28,Route_4_WharfsideWay
23:00:00,2019-04-30,00:01:01,Route_4_WharfsideWay
23:15:00,2019-04-30,00:01:22,Route_4_WharfsideWay
23:30:00,2019-04-30,00:00:48,Route_4_WharfsideWay
23:45:00,2019-04-30,00:01:41,Route_4_WharfsideWay
